country_iso2,country_name,year,VAR_06_animal_rights_delta_risk,VAR_07_plant_protein_ratio_risk,VAR_08_public_concern_risk,VAR_09_civic_space_risk,VAR_10_civil_liberties_risk
MX,Mexico,2012,-0.0,0.5357,65,0.2911,0.31
MX,Mexico,2013,-0.008,0.5405,65,0.3472,0.319
MX,Mexico,2014,-0.0,0.5375,65,0.3472,0.326
MX,Mexico,2015,-0.0,0.5459,65,0.3472,0.308
MX,Mexico,2016,-0.0,0.5489,65,0.3472,0.311
MX,Mexico,2017,-0.0,0.5483,65,0.3204,0.298
MX,Mexico,2018,-0.0,0.5554,65,0.2897,0.276
MX,Mexico,2019,0.033,0.5554,65,0.2539,0.288
MX,Mexico,2020,-0.001,0.5552,65,0.2952,0.302
MX,Mexico,2021,-0.022,0.5655,65,0.3651,0.323
MX,Mexico,2022,-0.06,0.5752,65,0.3841,0.334
NG,Nigeria,2004,-0.0,0.1545,85,0.2061,0.359
NG,Nigeria,2005,-0.013,0.1539,85,0.2061,0.359
NG,Nigeria,2006,-0.0,0.1533,85,0.2061,0.361
NG,Nigeria,2007,-0.003,0.1527,85,0.2061,0.36
NG,Nigeria,2008,-0.0,0.1521,85,0.1984,0.358
NG,Nigeria,2009,0.001,0.1515,85,0.1984,0.355
NG,Nigeria,2010,-0.0,0.1509,85,0.1758,0.354
NG,Nigeria,2011,-0.005,0.1556,85,0.1773,0.354
NG,Nigeria,2012,-0.0,0.1448,85,0.1773,0.353
NG,Nigeria,2013,-0.0,0.149,85,0.1688,0.347
NG,Nigeria,2014,-0.0,0.1504,85,0.1688,0.346
NG,Nigeria,2015,-0.0,0.1402,85,0.1688,0.357
NG,Nigeria,2016,-0.0,0.1269,85,0.1688,0.348
NG,Nigeria,2017,-0.0,0.1227,85,0.1688,0.352
NG,Nigeria,2018,-0.0,0.1226,85,0.1688,0.351
NG,Nigeria,2019,0.004,0.1211,85,0.1688,0.36
NG,Nigeria,2020,-0.008,0.1238,85,0.213,0.349
NG,Nigeria,2021,0.013,0.1202,85,0.2455,0.346
NG,Nigeria,2022,0.004,0.1168,85,0.2464,0.349
PL,Poland,2004,0.001,0.5608,58,0.2688,0.049
PL,Poland,2005,-0.0,0.5595,58,0.2688,0.049
PL,Poland,2006,-0.0,0.5582,58,0.2587,0.053
PL,Poland,2007,-0.0,0.5568,58,0.2683,0.052
PL,Poland,2008,0.001,0.5555,58,0.2683,0.045
PL,Poland,2009,-0.0,0.5542,58,0.2683,0.045
PL,Poland,2010,-0.0,0.5528,58,0.2683,0.046
PL,Poland,2011,-0.0,0.5543,58,0.2683,0.046
PL,Poland,2012,-0.0,0.5507,58,0.2683,0.043
PL,Poland,2013,-0.0,0.5488,58,0.2683,0.047
PL,Poland,2014,-0.0,0.5524,58,0.2683,0.047
PL,Poland,2015,-0.01,0.5734,58,0.2683,0.052
PL,Poland,2016,-0.072,0.5796,58,0.3039,0.114
PL,Poland,2017,-0.005,0.5693,58,0.3189,0.143
PL,Poland,2018,-0.007,0.5829,58,0.3189,0.143
PL,Poland,2019,-0.05,0.6013,58,0.3208,0.149
PL,Poland,2020,-0.013,0.6077,58,0.3343,0.168
PL,Poland,2021,-0.061,0.6188,58,0.3343,0.183
PL,Poland,2022,-0.018,0.6105,58,0.3343,0.184
ZA,South Africa,2004,-0.0,0.417,70,0.0345,0.139
ZA,South Africa,2005,-0.0,0.422,70,0.0345,0.139
ZA,South Africa,2006,-0.0,0.427,70,0.0272,0.138
ZA,South Africa,2007,-0.0,0.432,70,0.0272,0.138
ZA,South Africa,2008,-0.0,0.437,70,0.0272,0.139
ZA,South Africa,2009,-0.027,0.442,70,0.0272,0.139
ZA,South Africa,2010,-0.0,0.447,70,0.0544,0.135
ZA,South Africa,2011,-0.0,0.4518,70,0.0544,0.135
ZA,South Africa,2012,-0.0,0.4605,70,0.0544,0.134
